method,n,accuracy,accuracy_hard,accuracy_easy,parse_rate,n_hard,n_easy,ci_lo,ci_hi,ci_hard_lo,ci_hard_hi
agglomerative,2086,0.6985,0.6028,0.7982,0.9995,1065,1021,0.6793,0.7167,0.5728,0.6319
dbscan,2077,0.6394,0.5302,0.7527,1.0,1058,1019,0.6187,0.6601,0.5,0.5605
flat,2086,0.664,0.5709,0.761,1.0,1065,1021,0.6429,0.6836,0.5418,0.6009
gmm,2068,0.7108,0.619,0.8055,1.0,1050,1018,0.691,0.7302,0.5895,0.6476
kmeans,2086,0.7085,0.6141,0.8071,0.9995,1065,1021,0.6889,0.7267,0.585,0.6423
leiden,2086,0.7124,0.6244,0.8041,0.9995,1065,1021,0.6937,0.7306,0.5944,0.6526
